id,latcoord,longcoord
219A,48.352033333333,11.793002777778
219B,48.351983333333,11.793011111111
220A,48.351638888889,11.793069444444
220B,48.351541666667,11.793086111111
221,48.351294444444,11.793130555556
222A,48.35105,11.793172222222
222B,48.35095,11.793188888889
223A,48.350583333333,11.793252777778
223B,48.350533333333,11.793261111111
224A,48.350163888889,11.793325
224B,48.350122222222,11.793333333333
231,48.350975,11.792138888889
232,48.350647222222,11.792194444444
233,48.350319444444,11.792252777778
234,48.349988888889,11.792308333333
244,48.357347222222,11.797447222222
245,48.356975,11.797511111111
246,48.356605555556,11.797575
247,48.356233333333,11.797638888889
248A,48.355863888889,11.797702777778
248B,48.355777777778,11.797719444444
249A,48.355358333333,11.797791666667
249B,48.355241666667,11.797811111111
250,48.354733333333,11.7979
251A,48.354225,11.797986111111
251B,48.354108333333,11.798008333333
252A,48.353688888889,11.798080555556
252B,48.353602777778,11.798094444444
253,48.353233333333,11.798158333333
254,48.352861111111,11.798222222222
255,48.352491666667,11.798286111111
256,48.352119444444,11.79835
261,48.349827777778,11.797972222222
262,48.349780555556,11.798313888889
263,48.349877777778,11.798630555556
301,48.357241666667,11.798986111111
301A,48.357411111111,11.798958333333
301B,48.357047222222,11.799019444444
302,48.356455555556,11.799122222222
302A,48.356627777778,11.799091666667
302B,48.356266666667,11.799155555556
308,48.355847222222,11.799633333333
309,48.355469444444,11.7997
310,48.35505,11.799772222222
311,48.354627777778,11.799844444444
312,48.354208333333,11.799919444444
313,48.353777777778,11.799855555556
317,48.353175,11.799688888889
317A,48.353341666667,11.799661111111
317B,48.352980555556,11.799722222222
318,48.352391666667,11.799825
318A,48.352561111111,11.799797222222
318B,48.3522,11.799858333333
321,48.356433333333,11.802536111111
322,48.355994444444,11.802611111111
323,48.355558333333,11.802686111111
324,48.355119444444,11.802761111111
325,48.354680555556,11.802838888889
327,48.353727777778,11.803016666667
328,48.353316666667,11.803086111111
329,48.352905555556,11.803158333333
330,48.352494444444,11.803216666667
331,48.351963888889,11.803102777778
332,48.351608333333,11.80325
341,48.349866666667,11.799408333333
342,48.349908333333,11.79995
343,48.34995,11.800491666667
344,48.349991666667,11.801033333333
345,48.350033333333,11.801575
346,48.350075,11.802116666667
347,48.350116666667,11.802658333333
348,48.350158333333,11.8032
349,48.3502,11.803741666667
511,48.352083333333,11.804238888889
512,48.352125,11.804780555556
581,48.359344444444,11.802133333333
582,48.359391666667,11.80275
583,48.359438888889,11.803366666667
584,48.359486111111,11.803983333333
585,48.359533333333,11.8046
586,48.359580555556,11.805216666667
591,48.357730555556,11.803091666667
592,48.357772222222,11.803636111111
593,48.357813888889,11.804177777778
594,48.357855555556,11.804722222222
595,48.357897222222,11.805263888889
601,48.345583333333,11.756369444444
601A,48.345736111111,11.756616666667
601B,48.345694444444,11.756075
602,48.3455,11.755283333333
602A,48.345652777778,11.755530555556
602B,48.345611111111,11.754988888889
603,48.345416666667,11.754197222222
603A,48.345569444444,11.754444444444
603B,48.345527777778,11.753902777778
604,48.345333333333,11.753111111111
604A,48.345486111111,11.753361111111
604B,48.345444444444,11.752816666667
605,48.345247222222,11.752025
605A,48.3454,11.752275
605B,48.345358333333,11.751730555556
606,48.345163888889,11.750938888889
606A,48.345316666667,11.751188888889
606B,48.345275,11.750647222222
607,48.345080555556,11.749855555556
607A,48.345233333333,11.750105555556
607B,48.345191666667,11.749561111111
611,48.3449,11.746958333333
612,48.344755555556,11.746655555556
613,48.344855555556,11.746408333333
614,48.344813888889,11.745858333333
701A,48.346758333333,11.765036111111
701B,48.346708333333,11.765047222222
701C,48.346541666667,11.765075
701D,48.34635,11.765108333333
702A,48.346666666667,11.763844444444
702B,48.346616666667,11.763852777778
702C,48.34645,11.763883333333
702D,48.346258333333,11.763916666667
703A,48.346575,11.762655555556
703B,48.346525,11.762663888889
703C,48.346355555556,11.762694444444
703D,48.346166666667,11.762727777778
801A,48.347333333333,11.772452777778
801B,48.347280555556,11.772463888889
801C,48.347113888889,11.772491666667
801D,48.346922222222,11.772525
802A,48.347244444444,11.771308333333
802B,48.347191666667,11.771316666667
802C,48.347025,11.771347222222
802D,48.346833333333,11.771380555556
803A,48.347152777778,11.770141666667
803B,48.347102777778,11.77015
803C,48.346936111111,11.770180555556
803D,48.346744444444,11.770213888889
804A,48.347066666667,11.769002777778
804B,48.347016666667,11.769011111111
804C,48.346847222222,11.769041666667
804D,48.346658333333,11.769075
805A,48.346977777778,11.767863888889
805B,48.346927777778,11.767872222222
805C,48.346761111111,11.767902777778
805D,48.346569444444,11.767936111111
901,48.349133333333,11.772766666667
902,48.349047222222,11.771627777778
903,48.348969444444,11.770622222222
904,48.348880555556,11.769483333333
905,48.348802777778,11.768477777778
906,48.348716666667,11.767338888889
